sentence,label,text_clean
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,accord gran company plan move production russia although company grow
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,technopolis plan develop stage area less square meter order host company work computer technology telecomumication statement say
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,international electronic industry company elcoteq lay ten employee tallinn facility contrary early layoff company contract rank office worker daily postimees report
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,accord company update strategy year basware target long term net sale growth range operating profit margin net sale
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically demand hdi print circuit board pcb
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter componenta net sale double eur eur period year early move zero pre tax profit pre tax loss eur
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter net sale increase eur mn operating profit eur mn
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rise eur mn eur mn corresponding period represent net sale
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totall eur mn eur mn represent net sale
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn say offer line strategy increase ownership core business holding would strengthen eesti telekom offer customer
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norske skog real upm kymmene credit suisse first Boston cfsb raise fair value share four large nordic forestry group
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,purchase agreement ton gasoline delivery hamina terminal finland sign neste oil oyj average platt index september plus eight we dollar per month
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operating profit increase eur mn eur mn net sale totale eur mn eur mn
